CodigoEstacion;NombreEstacion;Latitud;Longitud;Altitud;Categoria;Entidad;AreaOperativa;Departamento;Municipio;FechaInstalacion;FechaSuspension;IdParametro;Etiqueta;Frecuencia;Fecha;Valor maximo;Valor minimo;Grado;Calificador;NivelAprobacion
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;20/06/2021 0:00;17;8,9;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;21/06/2021 0:00;19,2;11,7;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;22/06/2021 0:00;18;8,3;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;23/06/2021 0:00;20,8;15,9;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;24/06/2021 0:00;18,2;14;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;25/06/2021 0:00;20,8;8,8;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;26/06/2021 0:00;19,8;16,8;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;27/06/2021 0:00;17,2;13,1;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;28/06/2021 0:00;20,2;15,9;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;29/06/2021 0:00;19,2;15,2;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;30/06/2021 0:00;17,4;13,3;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;1/07/2021 0:00;20,2;12;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;2/07/2021 0:00;20,8;11,9;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;3/07/2021 0:00;20,8;17,4;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;4/07/2021 0:00;18,2;9,6;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;5/07/2021 0:00;19,2;17,7;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;6/07/2021 0:00;19,8;12,8;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;7/07/2021 0:00;20;16;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;8/07/2021 0:00;20,2;10,1;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;9/07/2021 0:00;18;11,5;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;10/07/2021 0:00;18,2;9,6;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;11/07/2021 0:00;18,4;12;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;12/07/2021 0:00;18,2;13,7;50;;1100
